% variance explained,predictors,conditions,patient,chanels,nature
10.43610509656276,envelope,6l,p02,p02_Ip_1_2,real
6.566932123327531,envelope,6l,p02,p02_Ip'_7_8,real
-1.31922604333128,envelope,6l,p02,p02_OF_12_13,real
4.24745343056478,envelope,6m,p02,p02_H_5_6,real
18.97076655321429,envelope,6m,p02,p02_H_6_7,real
15.472942710168269,envelope,6m,p02,p02_H_7_8,real
8.61193266754076,envelope,6m,p02,p02_H_8_9,real
0.76470637883684,envelope,6m,p02,p02_H_9_10,real
8.027695436817151,envelope,6m,p02,p02_H_10_11,real
20.92994447553124,envelope,6m,p02,p02_H_11_12,real
21.00637986135807,envelope,6m,p02,p02_H_12_13,real
5.44575403956387,envelope,6m,p02,p02_H_13_14,real
8.231298794959049,envelope,6m,p02,p02_H_14_15,real
10.82019602703169,envelope,6m,p02,p02_H'_5_6,real
3.87136871234133,envelope,6m,p02,p02_H'_6_7,real
15.99799652006548,envelope,6m,p02,p02_H'_7_8,real
16.51662708851195,envelope,6m,p02,p02_H'_8_9,real
17.81886678521473,envelope,6m,p02,p02_H'_9_10,real
29.442546734529117,envelope,6m,p02,p02_H'_10_11,real
4.1320598453196595,envelope,6m,p02,p02_H'_11_12,real
0.48963548298349996,envelope,6m,p02,p02_H'_12_13,real
7.70590566687792,envelope,6m,p02,p02_Im'_5_6,real
22.14540802521605,envelope,6m,p02,p02_Im'_6_7,real
6.4803122222764395,envelope,6m,p02,p02_Im'_7_8,real
4.71267431105057,envelope,6m,p02,p02_Ip_1_2,real
6.329131711692559,envelope,6m,p02,p02_Ip'_7_8,real
-1.20240808916829,envelope,6m,p02,p02_OF_12_13,real
-5.02749289276603,envelope,6h,p02,p02_H_5_6,real
24.74530202271231,envelope,6h,p02,p02_H_6_7,real
16.87800271914115,envelope,6h,p02,p02_H_7_8,real
11.53215871596416,envelope,6h,p02,p02_H_8_9,real
-1.2635815083142,envelope,6h,p02,p02_H_9_10,real
9.49187392675943,envelope,6h,p02,p02_H_10_11,real
21.10877659588168,envelope,6h,p02,p02_H_11_12,real
29.8865135759036,envelope,6h,p02,p02_H_12_13,real
-2.15504477336366,envelope,6h,p02,p02_H_13_14,real
5.40593303924172,envelope,6h,p02,p02_H_14_15,real
8.38656836431744,envelope,6h,p02,p02_H'_5_6,real
1.58079449042564,envelope,6h,p02,p02_H'_6_7,real
19.88839085033792,envelope,6h,p02,p02_H'_7_8,real
23.83149206552663,envelope,6h,p02,p02_H'_8_9,real
27.504727387013027,envelope,6h,p02,p02_H'_9_10,real
33.33486647643481,envelope,6h,p02,p02_H'_10_11,real
4.727114425729121,envelope,6h,p02,p02_H'_11_12,real
-5.33897141542742,envelope,6h,p02,p02_H'_12_13,real
10.73474926666226,envelope,6h,p02,p02_Im'_5_6,real
22.76253577711659,envelope,6h,p02,p02_Im'_6_7,real
13.01131651748943,envelope,6h,p02,p02_Im'_7_8,real
9.88206929649129,envelope,6h,p02,p02_Ip_1_2,real
6.38145619754188,envelope,6h,p02,p02_Ip'_7_8,real
3.4967355033896004,envelope,6h,p02,p02_OF_12_13,real
3.08211370145632,envelope,9l,p02,p02_H_5_6,real
18.50853436120076,envelope,9l,p02,p02_H_6_7,real
13.10581744037154,envelope,9l,p02,p02_H_7_8,real
13.029657379321149,envelope,9l,p02,p02_H_8_9,real
10.4362549526621,envelope,9l,p02,p02_H_9_10,real
18.81416581416475,envelope,9l,p02,p02_H_10_11,real
0.9739377792082701,envelope,9l,p02,p02_H_11_12,real
6.544148037096879,envelope,9l,p02,p02_H_12_13,real
3.5169874521627396,envelope,9l,p02,p02_H_13_14,real
